elife-100000-v1,elife-100000 
elife-100002-v1,elife-100002 
elife-100011-v1,elife-100011 
elife-100037-v1,elife-100037 
elife-100041-v1,elife-100041 
elife-100060-v1,elife-100060 
elife-100064-v1,elife-100064 
elife-100066-v1,elife-100066 
elife-100071-v1,elife-100071 
elife-100083-v1,elife-100083 
elife-100085-v1,elife-100085 
elife-100086-v1,elife-100086 
elife-100088-v1,elife-100088 
elife-100098-v1,elife-100098 
elife-100123-v1,elife-100123 
elife-100144-v1,elife-100144 
elife-100152-v1,elife-100152 
elife-100162-v1,elife-100162 
elife-100173-v1,elife-100173 
elife-100192-v1,elife-100192 
elife-100193-v1,elife-100193 
elife-100196-v1,elife-100196 
elife-100197-v1,elife-100197 
elife-100202-v1,elife-100202 
elife-100205-v1,elife-100205 
elife-100217-v1,elife-100217 
elife-100218-v1,elife-100218 
elife-100248-v1,elife-100248 
elife-100254-v1,elife-100254 
elife-100256-v1,elife-100256 
elife-100257-v1,elife-100257 
elife-100258-v1,elife-100258 
elife-100260-v1,elife-100260 
elife-100268-v1,elife-100268 
elife-100280-v1,elife-100280 
elife-100282-v1,elife-100282 
elife-100284-v1,elife-100284 
elife-100287-v1,elife-100287 
elife-100292-v1,elife-100292 
elife-100328-v1,elife-100328 
elife-100335-v1,elife-100335 
elife-100337-v1,elife-100337 
elife-100346-v1,elife-100346 
elife-100350-v1,elife-100350 
elife-100376-v1,elife-100376 
elife-100390-v1,elife-100390 
elife-100393-v1,elife-100393 
elife-100394-v1,elife-100394 
elife-100406-v1,elife-100406 
elife-100424-v1,elife-100424 
elife-100427-v1,elife-100427 
elife-100433-v1,elife-100433 
elife-100446-v1,elife-100446 
elife-100448-v1,elife-100448 
elife-100449-v1,elife-100449 
elife-100455-v1,elife-100455 
elife-100478-v1,elife-100478 
elife-100488-v1,elife-100488 
elife-100490-v1,elife-100490 
elife-100492-v1,elife-100492 
elife-100497-v1,elife-100497 
elife-100525-v1,elife-100525 
elife-100527-v1,elife-100527 
elife-100530-v1,elife-100530 
elife-100532-v1,elife-100532 
elife-100535-v1,elife-100535 
elife-100541-v1,elife-100541 
elife-100545-v1,elife-100545 
elife-100569-v1,elife-100569 
elife-100570-v1,elife-100570 
elife-100574-v1,elife-100574 
elife-100581-v1,elife-100581 
elife-100601-v1,elife-100601 
elife-100604-v1,elife-100604 
elife-100605-v1,elife-100605 
elife-100611-v1,elife-100611 
elife-100652-v1,elife-100652 
elife-100664-v1,elife-100664 
elife-100665-v1,elife-100665 
elife-100666-v1,elife-100666 
elife-100673-v1,elife-100673 
elife-100687-v1,elife-100687 
elife-100705-v1,elife-100705 
elife-100708-v1,elife-100708 
elife-100722-v1,elife-100722 
elife-100730-v1,elife-100730 
elife-100731-v1,elife-100731 
elife-100734-v1,elife-100734 
elife-100735-v1,elife-100735 
elife-100737-v1,elife-100737 
elife-100739-v1,elife-100739 
elife-100747-v1,elife-100747 
elife-100749-v1,elife-100749 
elife-100764-v1,elife-100764 
elife-100767-v1,elife-100767 
elife-100768-v1,elife-100768 
elife-100785-v1,elife-100785 
elife-100788-v1,elife-100788 
elife-100796-v1,elife-100796 
elife-100797-v1,elife-100797 
elife-100799-v1,elife-100799 
elife-100820-v1,elife-100820 
elife-100821-v1,elife-100821 
elife-100822-v1,elife-100822 
elife-100830-v1,elife-100830 
elife-100840-v1,elife-100840 
elife-100849-v1,elife-100849 
elife-100854-v1,elife-100854 
elife-100856-v1,elife-100856 
elife-100870-v1,elife-100870 
elife-100885-v1,elife-100885 
elife-100887-v1,elife-100887 
elife-100890-v1,elife-100890 
elife-100904-v1,elife-100904 
elife-100914-v1,elife-100914 
elife-100918-v1,elife-100918 
elife-100922-v1,elife-100922 
elife-100923-v1,elife-100923 
elife-100928-v1,elife-100928 
elife-100937-v1,elife-100937 
elife-100941-v1,elife-100941 
elife-100947-v1,elife-100947 
elife-100949-v1,elife-100949 
elife-100961-v1,elife-100961 
elife-100968-v1,elife-100968 
elife-100981-v1,elife-100981 
elife-100987-v1,elife-100987 
elife-100988-v1,elife-100988 
elife-100989-v1,elife-100989 
elife-100990-v1,elife-100990 
elife-100996-v1,elife-100996 
elife-101011-v1,elife-101011 
elife-101035-v1,elife-101035 
elife-101036-v1,elife-101036 
elife-101043-v1,elife-101043 
elife-101069-v1,elife-101069 
elife-101071-v1,elife-101071 
elife-101075-v1,elife-101075 
elife-101080-v1,elife-101080 
elife-101101-v1,elife-101101 
elife-101103-v1,elife-101103 
elife-101105-v1,elife-101105 
elife-101113-v1,elife-101113 
elife-101114-v1,elife-101114 
elife-101125-v1,elife-101125 
elife-101127-v1,elife-101127 
elife-101128-v1,elife-101128 
elife-101136-v1,elife-101136 
elife-101137-v1,elife-101137 
elife-101142-v1,elife-101142 
elife-101143-v1,elife-101143 
elife-101151-v1,elife-101151 
elife-101153-v1,elife-101153 
elife-101157-v1,elife-101157 
elife-101163-v1,elife-101163 
elife-101170-v1,elife-101170 
elife-101173-v1,elife-101173 
elife-101175-v1,elife-101175 
elife-101186-v1,elife-101186 
elife-101197-v1,elife-101197 
elife-101198-v1,elife-101198 
elife-101217-v1,elife-101217 
elife-101221-v1,elife-101221 
elife-101236-v1,elife-101236 
elife-101241-v1,elife-101241 
elife-101244-v1,elife-101244 
elife-101248-v1,elife-101248 
elife-101269-v1,elife-101269 
elife-101299-v1,elife-101299 
elife-101302-v1,elife-101302 
elife-101322-v1,elife-101322 
elife-101325-v1,elife-101325 
elife-101327-v1,elife-101327 
elife-101338-v1,elife-101338 
elife-101369-v1,elife-101369 
elife-101371-v1,elife-101371 
elife-101388-v1,elife-101388 
elife-101391-v1,elife-101391 
elife-101401-v1,elife-101401 
elife-101413-v1,elife-101413 
elife-101420-v1,elife-101420 
elife-101428-v1,elife-101428 
elife-101439-v1,elife-101439 
elife-101440-v1,elife-101440 
elife-101483-v1,elife-101483 
elife-101506-v1,elife-101506 
elife-101511-v1,elife-101511 
elife-101526-v1,elife-101526 
elife-101531-v1,elife-101531 
elife-101559-v1,elife-101559 
elife-101578-v1,elife-101578 
elife-101579-v1,elife-101579 
elife-101583-v1,elife-101583 
elife-101604-v1,elife-101604 
elife-101606-v1,elife-101606 
elife-101626-v1,elife-101626 
elife-101629-v1,elife-101629 
elife-101630-v1,elife-101630 
elife-101642-v1,elife-101642 
elife-101667-v1,elife-101667 
elife-101670-v1,elife-101670 
elife-101688-v1,elife-101688 
elife-101701-v1,elife-101701 
elife-101714-v1,elife-101714 
elife-101717-v1,elife-101717 
elife-101724-v1,elife-101724 
elife-101727-v1,elife-101727 
elife-101731-v1,elife-101731 
elife-101733-v1,elife-101733 
elife-101736-v1,elife-101736 
elife-101747-v1,elife-101747 
elife-101757-v1,elife-101757 
elife-101760-v1,elife-101760 
elife-101769-v1,elife-101769 
elife-101779-v1,elife-101779 
elife-101780-v1,elife-101780 
elife-101802-v1,elife-101802 
elife-101814-v1,elife-101814 
elife-101825-v1,elife-101825 
elife-101830-v1,elife-101830 
elife-101841-v1,elife-101841 
elife-101850-v1,elife-101850 
elife-101851-v1,elife-101851 
elife-101882-v1,elife-101882 
elife-101885-v1,elife-101885 
elife-101886-v1,elife-101886 
elife-101887-v1,elife-101887 
elife-101888-v1,elife-101888 
elife-101894-v1,elife-101894 
elife-101912-v1,elife-101912 
elife-101918-v1,elife-101918 
elife-101923-v1,elife-101923 
elife-101924-v1,elife-101924 
elife-101929-v1,elife-101929 
elife-101932-v1,elife-101932 
elife-101938-v1,elife-101938 
elife-101943-v1,elife-101943 
elife-101944-v1,elife-101944 
elife-101950-v1,elife-101950 
elife-101959-v1,elife-101959 
elife-101965-v1,elife-101965 
elife-101967-v1,elife-101967 
elife-101973-v1,elife-101973 
elife-101980-v1,elife-101980 
elife-101984-v1,elife-101984 
elife-101990-v1,elife-101990 
elife-101992-v1,elife-101992 
elife-102001-v1,elife-102001 
elife-102002-v1,elife-102002 
elife-102019-v1,elife-102019 
elife-102027-v1,elife-102027 
elife-102068-v1,elife-102068 
elife-102097-v1,elife-102097 
elife-102151-v1,elife-102151 
elife-102166-v1,elife-102166 
elife-102184-v1,elife-102184 
elife-102205-v1,elife-102205 
elife-102222-v1,elife-102222 
elife-102226-v1,elife-102226 
elife-102228-v1,elife-102228 
elife-102230-v1,elife-102230 
elife-102232-v1,elife-102232 
elife-102253-v1,elife-102253 
elife-102269-v1,elife-102269 
elife-102274-v1,elife-102274 
elife-102277-v1,elife-102277 
elife-102288-v1,elife-102288 
elife-102301-v1,elife-102301 
elife-102305-v1,elife-102305 
elife-102308-v1,elife-102308 
elife-102321-v1,elife-102321 
elife-102324-v1,elife-102324 
elife-102335-v1,elife-102335 
elife-102337-v1,elife-102337 
elife-102346-v1,elife-102346 
elife-102352-v1,elife-102352 
elife-102392-v1,elife-102392 
elife-102409-v1,elife-102409 
elife-102422-v1,elife-102422 
elife-102424-v1,elife-102424 
elife-102433-v1,elife-102433 
elife-102434-v1,elife-102434 
elife-102439-v1,elife-102439 
elife-102441-v1,elife-102441 
